type	feature	n	log_odds_weighted	log_odds_weighted_scaled
speech	neptunus	14	-0.299508689010911	0.18371789494986196
speech	uicinus	10	-0.300440876809119	0.18366391341253407
speech	conuenio	10	-0.300440876809119	0.18366391341253407
speech	eligo	10	-0.300440876809119	0.18366391341253407
speech	atlas	10	-0.300440876809119	0.18366391341253407
speech	lugeo	10	-0.300440876809119	0.18366391341253407
speech	male	16	-0.301107870190926	0.18362528886906043
speech	pauidus	16	-0.301107870190926	0.18362528886906043
speech	ales	16	-0.301107870190926	0.18362528886906043
speech	ubique	9	-0.302116702392801	0.1835668689741983
speech	graii	9	-0.302116702392801	0.1835668689741983
speech	derigo	9	-0.302116702392801	0.1835668689741983
speech	consisto	9	-0.302116702392801	0.1835668689741983
speech	eques	17	-0.302220541490683	0.18356085581445816
speech	redeo	76	-0.303232003468607	0.18350228363337834
speech	summus	41	-0.304094000586053	0.18345236672858578
speech	cumulo	8	-0.304726546515368	0.18341573698320554
speech	uenatus	8	-0.304726546515368	0.18341573698320554
speech	pluma	8	-0.304726546515368	0.18341573698320554
speech	chlamys	8	-0.304726546515368	0.18341573698320554
speech	pomum	8	-0.304726546515368	0.18341573698320554
speech	tonitrus	8	-0.304726546515368	0.18341573698320554
speech	limes	19	-0.304905908129001	0.1834053504327056
speech	pons	21	-0.30805098710129	0.1832232238287443
speech	arceo	21	-0.30805098710129	0.1832232238287443
speech	culmen	21	-0.30805098710129	0.1832232238287443
speech	tisiphone	7	-0.308585536501851	0.18319226890906454
speech	obnitor	7	-0.308585536501851	0.18319226890906454
speech	letifer	7	-0.308585536501851	0.18319226890906454
speech	meto	7	-0.308585536501851	0.18319226890906454
speech	riuus	7	-0.308585536501851	0.18319226890906454
speech	annuo	7	-0.308585536501851	0.18319226890906454
speech	aemulus	7	-0.308585536501851	0.18319226890906454
speech	innecto	7	-0.308585536501851	0.18319226890906454
speech	surgo	65	-0.308670654813721	0.18318733984076058
speech	magister	22	-0.309752912152054	0.18312466801109287
speech	accurro	2	-0.311283113728481	0.1830360564312418
speech	dispar	2	-0.311283113728481	0.1830360564312418
speech	foramen	2	-0.311283113728481	0.1830360564312418
speech	laurentius	2	-0.311283113728481	0.1830360564312418
speech	secum	2	-0.311283113728481	0.1830360564312418
speech	accola	2	-0.311283113728481	0.1830360564312418
speech	auide	2	-0.311283113728481	0.1830360564312418
speech	arbitrium	2	-0.311283113728481	0.1830360564312418
speech	parrhasius	2	-0.311283113728481	0.1830360564312418
speech	infula	2	-0.311283113728481	0.1830360564312418
speech	significo	2	-0.311283113728481	0.1830360564312418
speech	cyzicus	2	-0.311283113728481	0.1830360564312418
speech	bellatrix	2	-0.311283113728481	0.1830360564312418
speech	dictaeus	2	-0.311283113728481	0.1830360564312418
speech	ferax	2	-0.311283113728481	0.1830360564312418
speech	pindus	2	-0.311283113728481	0.1830360564312418
speech	semifer	2	-0.311283113728481	0.1830360564312418
speech	pelta	2	-0.311283113728481	0.1830360564312418
speech	declino	2	-0.311283113728481	0.1830360564312418
speech	decliuis	2	-0.311283113728481	0.1830360564312418
speech	priameius	2	-0.311283113728481	0.1830360564312418
speech	inuoco	2	-0.311283113728481	0.1830360564312418
speech	raresco	2	-0.311283113728481	0.1830360564312418
speech	pulmo	2	-0.311283113728481	0.1830360564312418
speech	celeber	2	-0.311283113728481	0.1830360564312418
speech	undosus	2	-0.311283113728481	0.1830360564312418
speech	eteocleus	2	-0.311283113728481	0.1830360564312418
speech	ecus	2	-0.311283113728481	0.1830360564312418
speech	propulso	2	-0.311283113728481	0.1830360564312418
speech	cladus	2	-0.311283113728481	0.1830360564312418
speech	sanus	2	-0.311283113728481	0.1830360564312418
speech	harmonia	2	-0.311283113728481	0.1830360564312418
speech	profusus	2	-0.311283113728481	0.1830360564312418
speech	consterno	2	-0.311283113728481	0.1830360564312418
speech	resupinus	2	-0.311283113728481	0.1830360564312418
speech	profundo	2	-0.311283113728481	0.1830360564312418
speech	coroebus	2	-0.311283113728481	0.1830360564312418
speech	sarmaticus	2	-0.311283113728481	0.1830360564312418
speech	conuoco	2	-0.311283113728481	0.1830360564312418
speech	coruscum	2	-0.311283113728481	0.1830360564312418
speech	saturnius	2	-0.311283113728481	0.1830360564312418
speech	eumeni	2	-0.311283113728481	0.1830360564312418
speech	aetne	2	-0.311283113728481	0.1830360564312418
speech	lugubris	2	-0.311283113728481	0.1830360564312418
speech	miraculum	2	-0.311283113728481	0.1830360564312418
speech	mirandus	2	-0.311283113728481	0.1830360564312418
speech	confugio	2	-0.311283113728481	0.1830360564312418
speech	transcurro	2	-0.311283113728481	0.1830360564312418
speech	limbus	2	-0.311283113728481	0.1830360564312418
speech	ardor	23	-0.311523786327768	0.18302211945746122
speech	sinuo	6	-0.314164453683779	0.18286920254123137
speech	murex	6	-0.314164453683779	0.18286920254123137
speech	aridus	6	-0.314164453683779	0.18286920254123137
speech	regius	25	-0.315232368167567	0.18280736128383623
speech	achilles	37	-0.316679523653301	0.182723558773202
speech	diu	37	-0.316679523653301	0.182723558773202
speech	claudo	54	-0.317256389831557	0.18269015335511504
speech	lambo	5	-0.322201194856306	0.18240380743046794
speech	bellona	5	-0.322201194856306	0.18240380743046794
speech	concors	5	-0.322201194856306	0.18240380743046794
speech	liueo	5	-0.322201194856306	0.18240380743046794
speech	ilex	5	-0.322201194856306	0.18240380743046794
speech	praeter	5	-0.322201194856306	0.18240380743046794
speech	caro	5	-0.322201194856306	0.18240380743046794
speech	maniplum	5	-0.322201194856306	0.18240380743046794
speech	geticus	5	-0.322201194856306	0.18240380743046794
speech	ferratus	5	-0.322201194856306	0.18240380743046794
speech	uena	5	-0.322201194856306	0.18240380743046794
speech	medium	5	-0.322201194856306	0.18240380743046794
speech	intonsus	5	-0.322201194856306	0.18240380743046794
speech	portus	32	-0.3292679020172	0.18199458547205527
speech	trepido	32	-0.3292679020172	0.18199458547205527
speech	capulus	4	-0.333926533138718	0.18172481143053004
speech	haemus	4	-0.333926533138718	0.18172481143053004
speech	threicius	4	-0.333926533138718	0.18172481143053004
speech	tethys	4	-0.333926533138718	0.18172481143053004
speech	ursa	4	-0.333926533138718	0.18172481143053004
speech	lassus	4	-0.333926533138718	0.18172481143053004
speech	comitatus	4	-0.333926533138718	0.18172481143053004
speech	orpheus	4	-0.333926533138718	0.18172481143053004
speech	hammon	4	-0.333926533138718	0.18172481143053004
speech	seminex	4	-0.333926533138718	0.18172481143053004
speech	ascendo	4	-0.333926533138718	0.18172481143053004
speech	arcadius	4	-0.333926533138718	0.18172481143053004
speech	ignoro	4	-0.333926533138718	0.18172481143053004
speech	promo	4	-0.333926533138718	0.18172481143053004
speech	signo	15	-0.334387697981304	0.18169810609581935
speech	corona	16	-0.334388358775796	0.1816980678302439
speech	uinclum	17	-0.334653610542796	0.18168270751530613
speech	uelox	17	-0.334653610542796	0.18168270751530613
speech	prosterno	14	-0.334702650322006	0.18167986769839686
speech	iason	14	-0.334702650322006	0.18167986769839686
speech	uerro	14	-0.334702650322006	0.18167986769839686
speech	spolio	14	-0.334702650322006	0.18167986769839686
speech	consto	18	-0.335142304280719	0.18165440802532534
speech	auster	18	-0.335142304280719	0.18165440802532534
speech	rabies	18	-0.335142304280719	0.18165440802532534
speech	acuo	13	-0.335397243317793	0.18163964490444712
speech	fetus	13	-0.335397243317793	0.18163964490444712
speech	ascanius	13	-0.335397243317793	0.18163964490444712
speech	iens	19	-0.3358208981164	0.18161511171771255
speech	pendo	19	-0.3358208981164	0.18161511171771255
speech	supra	12	-0.336552924287559	0.18157272122712753
speech	famulus	12	-0.336552924287559	0.18157272122712753
speech	resideo	20	-0.336661789325701	0.18156641702304818
speech	audax	21	-0.337642067426995	0.18150965065148825
speech	rarus	11	-0.338274920563297	0.1814730031162319
speech	infero	22	-0.338742568976926	0.18144592232806328
