idx	token	lemma	dialogism_score
6376	graio	graius	0.21156702026858093
6377	nobile	nobilis	0.24136893310088015
6378	busto	bustum	0.2286286963790729
6379	rhoetion	rhoetion	0.12880528110062514
6380	et	et	0.15833624089312415
6381	multum	multum	0.2691342988961686
6382	debentis	debeo	0.28302857862688807
6383	uatibus	uates	0.1916907902109493
6384	umbras	umbra	0.24046026093160444
6385	circumit	circumeo	0.24206370387043494
6386	exustae	exuso	0.12862587973223114
6387	nomen	nomen	0.2624633616591976
6388	memorabile	memorabilis	0.2600438351863483
6389	troiae	troia	0.2897648786773846
6390	magna	magnus	0.2696310251598993
6391	que	que	0.2012336315258229
6392	phoebei	phoebs	0.15269547283915877
6393	quaerit	quaero	0.25000493386291
6394	uestigia	uestigium	0.2265215490267018
6395	muri	murus	0.21231571724943168
6396	iam	iam	0.2423169147710674
6397	siluae	silua	0.18684410921413172
6398	steriles	sterilis	0.2456528958359835
6399	et	et	0.15833624089312415
6400	putres	puter	0.23133564366610723
6401	robore	robur	0.21158453581953446
6402	trunci	truncus	0.20103783753720889
6403	assaraci	assarax	0.12278932464248417
6404	pressere	premo	0.200754181808204
6405	domos	domus	0.2842653365942992
6406	et	et	0.15833624089312415
6407	templa	templum	0.2583997263717023
6408	deorum	deus	0.2919972603260973
6409	iam	iam	0.2423169147710674
6410	lassa	lasso	0.2300965737085982
6411	radice	radix	0.2192982189956894
6412	tenent	teneo	0.23084623908251473
6413	ac	ac	0.15864200912649323
6414	tota	totus	0.25141502186772324
6415	teguntur	tego	0.2075854517113446
6416	pergama	pergama	0.2838023019538699
6417	dumetis	dumetum	0.20972729615578817
6418	etiam	etiam	0.29770997469861954
6419	periere	pereo	0.23631289753055756
6420	ruinae	ruina	0.24246876303844478
6421	aspicit	aspicio	0.2956313940461067
6422	hesiones	hesio	0.23705775251876487
6423	scopulos	scopulus	0.20635136277303434
6424	silua	silua	0.16914174011215125
6425	que	que	0.2012336315258229
6426	latentis	lateo	0.22182971005935836
6427	anchisae	anchises	0.2158793166605768
6428	thalamos	thalamus	0.25801465257218653
6429	quo	qui	0.3777541690643932
6430	iudex	iudex	0.2414379626579326
6431	sederit	sedio	0.15791361778533783
6432	antro	antrum	0.20826158911872933
6433	unde	unde	0.32699021154172
6434	puer	puer	0.250825851641007
6435	raptus	rapio	0.20374266885380232
6436	caelo	caelum	0.21867397114166637
6437	quo	quis	0.4632900480574442
6438	uertice	uertex	0.1584793239719
6439	nais	naio	0.29516247344374724
6440	luxerit		0.15041673091433974
6441	oenone	oeno	0.12035390089182639
6442	nullum	nullus	0.3129816038778681
6443	est	sum	0.4103991028490287
6444	sine	sine	0.2704718843185471
6445	nomine	nomen	0.2321432688623853
6446	saxum	saxum	0.2059059587903167
6447	inscius	inscius	0.21514006905155317
6448	in	in	0.1978304838181022
6449	sicco	siccus	0.1824140140647854
6450	serpentem	serpens	0.22109289762505546
6451	puluere	puluis	0.19226643206850375
6452	riuum	riuus	0.22669567007168712
6453	transierat	transeo	0.20771496536058037
6454	qui	qui	0.40178000734467567
6455	xanthus	xanthus	0.2380711378971536
6456	erat	sum	0.39446734537716976
6457	securus	securus	0.21626212070708947
6458	in	in	0.1978304838181022
6459	alto	altus	0.1654758100717318
6460	gramine	gramen	0.2066517273765699
6461	ponebat	pono	0.22559471933011574
6462	gressus	gressus	0.20759208977406618
6463	phryx	phryx	0.2444105697144961
6464	incola	incola	0.22490067382552975
6465	manes	maneo	0.3712518590122154
6466	hectoreos	hectoreus	0.2474476542095716
6467	calcare	calco	0.280340349659714
6468	uetat	ueto	0.26349671792838963
6469	discussa	discutio	0.2177496488142331
